UNDEF;Undefined
I68.1;Zerebrale Arteriitis bei anderenorts klassifizierten infektiösen und parasitären Krankheiten
I68.2;Zerebrale Arteriitis bei sonstigen anderenorts klassifizierten Krankheiten
I68.8;Sonstige zerebrovaskuläre Störungen bei anderenorts klassifizierten Krankheiten
I69;Folgen einer zerebrovaskulären Krankheit
I69.0;Folgen einer Subarachnoidalblutung
I69.1;Folgen einer intrazerebralen Blutung
I69.2;Folgen einer sonstigen nichttraumatischen intrakraniellen Blutung
I69.3;Folgen eines Hirninfarktes
I69.4;Folgen eines Schlaganfalls, nicht als Blutung oder Infarkt bezeichnet
I69.8;Folgen sonstiger und nicht näher bezeichneter zerebrovaskulärer Krankheiten
I70;Atherosklerose
I70.0;Atherosklerose der Aorta
I70.1;Atherosklerose der Nierenarterie
I70.2;Atherosklerose der Extremitätenarterien
I70.20;Atherosklerose der Extremitätenarterien: Sonstige und nicht näher bezeichnet
I70.21;Atherosklerose der Extremitätenarterien: Becken-Bein-Typ, mit belastungsinduziertem Ischämieschmerz
I70.22;Atherosklerose der Extremitätenarterien: Becken-Bein-Typ, mit Ruheschmerzen
I70.23;Atherosklerose der Extremitätenarterien: Becken-Bein-Typ, mit Ulzeration
I70.24;Atherosklerose der Extremitätenarterien: Becken-Bein-Typ, mit Gangrän
I70.25;Atherosklerose der Extremitätenarterien: Schulter-Arm-Typ, alle Stadien
I70.8;Atherosklerose sonstiger Arterien
I70.9;Generalisierte und nicht näher bezeichnete Atherosklerose
I71;Aortenaneurysma und -dissektion
I71.0;Dissektion der Aorta
I71.00;Dissektion der Aorta nicht näher bezeichneter Lokalisation, ohne Angabe einer Ruptur
I71.01;Dissektion der Aorta thoracica, ohne Angabe einer Ruptur
I71.02;Dissektion der Aorta abdominalis, ohne Angabe einer Ruptur
I71.03;Dissektion der Aorta, thorakoabdominal, ohne Angabe einer Ruptur
I71.04;Dissektion der Aorta nicht näher bezeichneter Lokalisation, rupturiert
I71.05;Dissektion der Aorta thoracica, rupturiert
I71.06;Dissektion der Aorta abdominalis, rupturiert
I71.07;Dissektion der Aorta, thorakoabdominal, rupturiert
I71.1;Aneurysma der Aorta thoracica, rupturiert
I71.2;Aneurysma der Aorta thoracica, ohne Angabe einer Ruptur
I71.3;Aneurysma der Aorta abdominalis, rupturiert
I71.4;Aneurysma der Aorta abdominalis, ohne Angabe einer Ruptur
I71.5;Aortenaneurysma, thorakoabdominal, rupturiert
I71.6;Aortenaneurysma, thorakoabdominal, ohne Angabe einer Ruptur
I71.8;Aortenaneurysma nicht näher bezeichneter Lokalisation, rupturiert
I71.9;Aortenaneurysma nicht näher bezeichneter Lokalisation, ohne Angabe einer Ruptur
I72;Sonstiges Aneurysma und sonstige Dissektion
I72.0;Aneurysma und Dissektion der A. carotis
I72.1;Aneurysma und Dissektion einer Arterie der oberen Extremität
I72.2;Aneurysma und Dissektion der Nierenarterie
I72.3;Aneurysma und Dissektion der A. iliaca
I72.4;Aneurysma und Dissektion einer Arterie der unteren Extremität
I72.5;Aneurysma und Dissektion sonstiger präzerebraler Arterien
I72.6;Aneurysma und Dissektion der A. vertebralis
I72.8;Aneurysma und Dissektion sonstiger näher bezeichneter Arterien
I72.9;Aneurysma und Dissektion nicht näher bezeichneter Lokalisation
I73;Sonstige periphere Gefäßkrankheiten
I73.0;Raynaud-Syndrom
I73.1;Thrombangiitis obliterans [Endangiitis von-Winiwarter-Buerger]
I73.8;Sonstige näher bezeichnete periphere Gefäßkrankheiten
I73.9;Periphere Gefäßkrankheit, nicht näher bezeichnet
I74;Arterielle Embolie und Thrombose
I74.0;Embolie und Thrombose der Aorta abdominalis
I74.1;Embolie und Thrombose sonstiger und nicht näher bezeichneter Abschnitte der Aorta
I74.2;Embolie und Thrombose der Arterien der oberen Extremitäten
I74.3;Embolie und Thrombose der Arterien der unteren Extremitäten
I74.4;Embolie und Thrombose der Extremitätenarterien, nicht näher bezeichnet
I74.5;Embolie und Thrombose der A. iliaca
I74.8;Embolie und Thrombose sonstiger Arterien
I74.9;Embolie und Thrombose nicht näher bezeichneter Arterie
I77;Sonstige Krankheiten der Arterien und Arteriolen
I77.0;Arteriovenöse Fistel, erworben
I77.1;Arterienstriktur
I77.2;Arterienruptur
I77.3;Fibromuskuläre Dysplasie der Arterien
I77.4;Arteria-coeliaca-Kompressions-Syndrom
I77.5;Arteriennekrose
I77.6;Arteriitis, nicht näher bezeichnet
I77.8;Sonstige näher bezeichnete Krankheiten der Arterien und Arteriolen
I77.9;Krankheit der Arterien und Arteriolen, nicht näher bezeichnet
I78;Krankheiten der Kapillaren
I78.0;Hereditäre hämorrhagische Teleangiektasie
I78.1;Nävus, nichtneoplastisch
I78.8;Sonstige Krankheiten der Kapillaren
I78.9;Krankheit der Kapillaren, nicht näher bezeichnet
I79;Krankheiten der Arterien, Arteriolen und Kapillaren bei anderenorts klassifizierten Krankheiten
I79.0;Aortenaneurysma bei anderenorts klassifizierten Krankheiten
I79.1;Aortitis bei anderenorts klassifizierten Krankheiten
I79.2;Periphere Angiopathie bei anderenorts klassifizierten Krankheiten
I79.8;Sonstige Krankheiten der Arterien, Arteriolen und Kapillaren bei anderenorts klassifizierten Krankheiten
I80;Thrombose, Phlebitis und Thrombophlebitis
I80.0;Thrombose, Phlebitis und Thrombophlebitis oberflächlicher Gefäße der unteren Extremitäten
I80.1;Thrombose, Phlebitis und Thrombophlebitis der V. femoralis
I80.2;Thrombose, Phlebitis und Thrombophlebitis sonstiger tiefer Gefäße der unteren Extremitäten
I80.20;Thrombose, Phlebitis und Thrombophlebitis der Beckenvenen
I80.28;Thrombose, Phlebitis und Thrombophlebitis sonstiger tiefer Gefäße der unteren Extremitäten
I80.3;Thrombose, Phlebitis und Thrombophlebitis der unteren Extremitäten, nicht näher bezeichnet
I80.8;Thrombose, Phlebitis und Thrombophlebitis sonstiger Lokalisationen
I80.80;Thrombose, Phlebitis und Thrombophlebitis oberflächlicher Gefäße der oberen Extremitäten
I80.81;Thrombose, Phlebitis und Thrombophlebitis tiefer Gefäße der oberen Extremitäten
I80.88;Thrombose, Phlebitis und Thrombophlebitis sonstiger Lokalisationen
I80.9;Thrombose, Phlebitis und Thrombophlebitis nicht näher bezeichneter Lokalisation
I81;Pfortaderthrombose
I82;Sonstige venöse Embolie und Thrombose
I82.0;Budd-Chiari-Syndrom
I82.1;Thrombophlebitis migrans
I82.2;Embolie und Thrombose der V. cava
I82.3;Embolie und Thrombose der Nierenvene
I82.8;Embolie und Thrombose sonstiger näher bezeichneter Venen
I82.80;Embolie und Thrombose der Milzvene
I82.88;Embolie und Thrombose sonstiger näher bezeichneter Venen
I82.9;Embolie und Thrombose nicht näher bezeichneter Vene
I83;Varizen der unteren Extremitäten
I83.0;Varizen der unteren Extremitäten mit Ulzeration
I83.1;Varizen der unteren Extremitäten mit Entzündung
I83.2;Varizen der unteren Extremitäten mit Ulzeration und Entzündung
I83.9;Varizen der unteren Extremitäten ohne Ulzeration oder Entzündung
I85;Ösophagusvarizen
I85.0;Ösophagusvarizen mit Blutung
I85.9;Ösophagusvarizen ohne Blutung
I86;Varizen sonstiger Lokalisationen
I86.0;Sublinguale Varizen
I86.1;Skrotumvarizen
I86.2;Beckenvarizen
I86.3;Vulvavarizen
I86.4;Magenvarizen
I86.8;Varizen sonstiger näher bezeichneter Lokalisationen
I87;Sonstige Venenkrankheiten
I87.0;Postthrombotisches Syndrom
I87.00;Postthrombotisches Syndrom ohne Ulzeration
I87.01;Postthrombotisches Syndrom mit Ulzeration
I87.1;Venenkompression
I87.2;Venöse Insuffizienz (chronisch) (peripher)
I87.8;Sonstige näher bezeichnete Venenkrankheiten
I87.9;Venenkrankheit, nicht näher bezeichnet
I88;Unspezifische Lymphadenitis
I88.0;Unspezifische mesenteriale Lymphadenitis
I88.1;Chronische Lymphadenitis, ausgenommen mesenterial
I88.8;Sonstige unspezifische Lymphadenitis
I88.9;Unspezifische Lymphadenitis, nicht näher bezeichnet
I89;Sonstige nichtinfektiöse Krankheiten der Lymphgefäße und Lymphknoten
I89.0;Lymphödem, anderenorts nicht klassifiziert
I89.1;Lymphangitis
I89.8;Sonstige näher bezeichnete nichtinfektiöse Krankheiten der Lymphgefäße und Lymphknoten
I89.9;Nichtinfektiöse Krankheit der Lymphgefäße und Lymphknoten, nicht näher bezeichnet
I95;Hypotonie
I95.0;Idiopathische Hypotonie
I95.1;Orthostatische Hypotonie
I95.2;Hypotonie durch Arzneimittel
I95.8;Sonstige Hypotonie
I95.9;Hypotonie, nicht näher bezeichnet
I97;Kreislaufkomplikationen nach medizinischen Maßnahmen, anderenorts nicht klassifiziert
I97.0;Postkardiotomie-Syndrom
I97.1;Sonstige Funktionsstörungen nach kardiochirurgischem Eingriff
I97.2;Lymphödem nach Mastektomie
I97.8;Sonstige Kreislaufkomplikationen nach medizinischen Maßnahmen, anderenorts nicht klassifiziert
I97.9;Kreislaufkomplikation nach medizinischer Maßnahme, nicht näher bezeichnet
I98;Sonstige Störungen des Kreislaufsystems bei anderenorts klassifizierten Krankheiten
I98.0;Kardiovaskuläre Syphilis
I98.1;Störungen des Herz-Kreislaufsystems bei sonstigen anderenorts klassifizierten infektiösen und parasitären Krankheiten
I98.2;Ösophagus- und Magenvarizen bei anderenorts klassifizierten Krankheiten, ohne Angabe einer Blutung
I98.3;Ösophagus- und Magenvarizen bei anderenorts klassifizierten Krankheiten, mit Angabe einer Blutung
I98.8;Sonstige näher bezeichnete Störungen des Kreislaufsystems bei anderenorts klassifizierten Krankheiten
I99;Sonstige und nicht näher bezeichnete Krankheiten des Kreislaufsystems
J00;Akute Rhinopharyngitis [Erkältungsschnupfen]
J01;Akute Sinusitis
J01.0;Akute Sinusitis maxillaris
J01.1;Akute Sinusitis frontalis
J01.2;Akute Sinusitis ethmoidalis
J01.3;Akute Sinusitis sphenoidalis
J01.4;Akute Pansinusitis
J01.8;Sonstige akute Sinusitis
J01.9;Akute Sinusitis, nicht näher bezeichnet
J02;Akute Pharyngitis
J02.0;Streptokokken-Pharyngitis
J02.8;Akute Pharyngitis durch sonstige näher bezeichnete Erreger
J02.9;Akute Pharyngitis, nicht näher bezeichnet
J03;Akute Tonsillitis
J03.0;Streptokokken-Tonsillitis
J03.8;Akute Tonsillitis durch sonstige näher bezeichnete Erreger
J03.9;Akute Tonsillitis, nicht näher bezeichnet
J04;Akute Laryngitis und Tracheitis
J04.0;Akute Laryngitis
J04.1;Akute Tracheitis
J04.2;Akute Laryngotracheitis
J05;Akute obstruktive Laryngitis [Krupp] und Epiglottitis
J05.0;Akute obstruktive Laryngitis [Krupp]
J05.1;Akute Epiglottitis
J06;Akute Infektionen an mehreren oder nicht näher bezeichneten Lokalisationen der oberen Atemwege
J06.0;Akute Laryngopharyngitis
J06.8;Sonstige akute Infektionen an mehreren Lokalisationen der oberen Atemwege
J06.9;Akute Infektion der oberen Atemwege, nicht näher bezeichnet
J09;Grippe durch bestimmte nachgewiesene Influenzaviren
J10;Grippe durch sonstige nachgewiesene Influenzaviren
J10.0;Grippe mit Pneumonie, sonstige Influenzaviren nachgewiesen
J10.1;Grippe mit sonstigen Manifestationen an den Atemwegen, sonstige Influenzaviren nachgewiesen
J10.8;Grippe mit sonstigen Manifestationen, sonstige Influenzaviren nachgewiesen
J11;Grippe, Viren nicht nachgewiesen
J11.0;Grippe mit Pneumonie, Viren nicht nachgewiesen
J11.1;Grippe mit sonstigen Manifestationen an den Atemwegen, Viren nicht nachgewiesen
J11.8;Grippe mit sonstigen Manifestationen, Viren nicht nachgewiesen
J12;Viruspneumonie, anderenorts nicht klassifiziert
J12.0;Pneumonie durch Adenoviren
J12.1;Pneumonie durch Respiratory-Syncytial-Viren [RS-Viren]
J12.2;Pneumonie durch Parainfluenzaviren
J12.3;Pneumonie durch humanes Metapneumovirus
J12.8;Pneumonie durch sonstige Viren
J12.9;Viruspneumonie, nicht näher bezeichnet
J13;Pneumonie durch Streptococcus pneumoniae
J14;Pneumonie durch Haemophilus influenzae
J15;Pneumonie durch Bakterien, anderenorts nicht klassifiziert
J15.0;Pneumonie durch Klebsiella pneumoniae
J15.1;Pneumonie durch Pseudomonas
J15.2;Pneumonie durch Staphylokokken
J15.3;Pneumonie durch Streptokokken der Gruppe B
J15.4;Pneumonie durch sonstige Streptokokken
J15.5;Pneumonie durch Escherichia coli
J15.6;Pneumonie durch andere aerobe gramnegative Bakterien
J15.7;Pneumonie durch Mycoplasma pneumoniae
J15.8;Sonstige bakterielle Pneumonie
J15.9;Bakterielle Pneumonie, nicht näher bezeichnet
J16;Pneumonie durch sonstige Infektionserreger, anderenorts nicht klassifiziert
J16.0;Pneumonie durch Chlamydien
J16.8;Pneumonie durch sonstige näher bezeichnete Infektionserreger
J17;Pneumonie bei anderenorts klassifizierten Krankheiten
J17.0;Pneumonie bei anderenorts klassifizierten bakteriellen Krankheiten
J17.1;Pneumonie bei anderenorts klassifizierten Viruskrankheiten
J17.2;Pneumonie bei Mykosen
J17.3;Pneumonie bei parasitären Krankheiten
J17.8;Pneumonie bei sonstigen anderenorts klassifizierten Krankheiten
J18;Pneumonie, Erreger nicht näher bezeichnet
J18.0;Bronchopneumonie, nicht näher bezeichnet
J18.1;Lobärpneumonie, nicht näher bezeichnet
J18.2;Hypostatische Pneumonie, nicht näher bezeichnet
J18.8;Sonstige Pneumonie, Erreger nicht näher bezeichnet
J18.9;Pneumonie, nicht näher bezeichnet
J20;Akute Bronchitis
J20.0;Akute Bronchitis durch Mycoplasma pneumoniae
J20.1;Akute Bronchitis durch Haemophilus influenzae
J20.2;Akute Bronchitis durch Streptokokken
J20.3;Akute Bronchitis durch Coxsackieviren
J20.4;Akute Bronchitis durch Parainfluenzaviren
J20.5;Akute Bronchitis durch Respiratory-Syncytial-Viren [RS-Viren]
J20.6;Akute Bronchitis durch Rhinoviren
J20.7;Akute Bronchitis durch ECHO-Viren
J20.8;Akute Bronchitis durch sonstige näher bezeichnete Erreger
J20.9;Akute Bronchitis, nicht näher bezeichnet
J21;Akute Bronchiolitis
J21.0;Akute Bronchiolitis durch Respiratory-Syncytial-Viren [RS-Viren]
J21.1;Akute Bronchiolitis durch humanes Metapneumovirus
J21.8;Akute Bronchiolitis durch sonstige näher bezeichnete Erreger
J21.9;Akute Bronchiolitis, nicht näher bezeichnet
J22;Akute Infektion der unteren Atemwege, nicht näher bezeichnet
J30;Vasomotorische und allergische Rhinopathie
J30.0;Rhinopathia vasomotorica
J30.1;Allergische Rhinopathie durch Pollen
J30.2;Sonstige saisonale allergische Rhinopathie
J30.3;Sonstige allergische Rhinopathie
J30.4;Allergische Rhinopathie, nicht näher bezeichnet
J31;Chronische Rhinitis, Rhinopharyngitis und Pharyngitis
J31.0;Chronische Rhinitis
J31.1;Chronische Rhinopharyngitis
J31.2;Chronische Pharyngitis
J32;Chronische Sinusitis
J32.0;Chronische Sinusitis maxillaris
J32.1;Chronische Sinusitis frontalis
J32.2;Chronische Sinusitis ethmoidalis
J32.3;Chronische Sinusitis sphenoidalis
J32.4;Chronische Pansinusitis
J32.8;Sonstige chronische Sinusitis
J32.9;Chronische Sinusitis, nicht näher bezeichnet
J33;Nasenpolyp
J33.0;Polyp der Nasenhöhle
J33.1;Polyposis nasalis deformans
J33.8;Sonstige Polypen der Nasennebenhöhlen
J33.9;Nasenpolyp, nicht näher bezeichnet
J34;Sonstige Krankheiten der Nase und der Nasennebenhöhlen
J34.0;Abszess, Furunkel und Karbunkel der Nase
J34.1;Zyste oder Mukozele der Nase und der Nasennebenhöhle
J34.2;Nasenseptumdeviation
J34.3;Hypertrophie der Nasenmuscheln
J34.8;Sonstige näher bezeichnete Krankheiten der Nase und der Nasennebenhöhlen
J35;Chronische Krankheiten der Gaumenmandeln und der Rachenmandel
J35.0;Chronische Tonsillitis
J35.1;Hyperplasie der Gaumenmandeln
J35.2;Hyperplasie der Rachenmandel
J35.3;Hyperplasie der Gaumenmandeln mit Hyperplasie der Rachenmandel
J35.8;Sonstige chronische Krankheiten der Gaumenmandeln und der Rachenmandel
J35.9;Chronische Krankheit der Gaumenmandeln und der Rachenmandel, nicht näher bezeichnet
J36;Peritonsillarabszess
J37;Chronische Laryngitis und Laryngotracheitis
J37.0;Chronische Laryngitis
J37.1;Chronische Laryngotracheitis
J38;Krankheiten der Stimmlippen und des Kehlkopfes, anderenorts nicht klassifiziert
J38.0;Lähmung der Stimmlippen und des Kehlkopfes
J38.00;Lähmung der Stimmlippen und des Kehlkopfes: Nicht näher bezeichnet
J38.01;Lähmung der Stimmlippen und des Kehlkopfes: Einseitig, partiell
J38.02;Lähmung der Stimmlippen und des Kehlkopfes: Einseitig, komplett
J38.03;Lähmung der Stimmlippen und des Kehlkopfes: Beidseitig, partiell
J38.1;Polyp der Stimmlippen und des Kehlkopfes
J38.2;Stimmlippenknötchen
J38.3;Sonstige Krankheiten der Stimmlippen
J38.4;Larynxödem
J38.5;Laryngospasmus
J38.6;Kehlkopfstenose
J38.7;Sonstige Krankheiten des Kehlkopfes
J39;Sonstige Krankheiten der oberen Atemwege
J39.0;Retropharyngealabszess und Parapharyngealabszess
J39.1;Sonstiger Abszess des Rachenraumes
J39.2;Sonstige Krankheiten des Rachenraumes
J39.3;Hypersensitivitätsreaktion der oberen Atemwege, Lokalisation nicht näher bezeichnet
J39.8;Sonstige näher bezeichnete Krankheiten der oberen Atemwege
J39.80;Erworbene Stenose der Trachea
J39.88;Sonstige näher bezeichnete Krankheiten der oberen Atemwege
J39.9;Krankheit der oberen Atemwege, nicht näher bezeichnet
J40;Bronchitis, nicht als akut oder chronisch bezeichnet
J41;Einfache und schleimig-eitrige chronische Bronchitis
J41.0;Einfache chronische Bronchitis
J41.1;Schleimig-eitrige chronische Bronchitis
J41.8;Mischformen von einfacher und schleimig-eitriger chronischer Bronchitis
J42;Nicht näher bezeichnete chronische Bronchitis
J43;Emphysem
J43.0;McLeod-Syndrom
J43.1;Panlobuläres Emphysem
J43.2;Zentrilobuläres Emphysem
J43.8;Sonstiges Emphysem
J43.9;Emphysem, nicht näher bezeichnet
J44;Sonstige chronische obstruktive Lungenkrankheit
J44.0;Chronische obstruktive Lungenkrankheit mit akuter Infektion der unteren Atemwege
J44.00;Chronische obstruktive Lungenkrankheit mit akuter Infektion der unteren Atemwege: FEV1 < 35 % des Sollwertes
J44.01;Chronische obstruktive Lungenkrankheit mit akuter Infektion der unteren Atemwege: FEV1 >= 35 % und < 50 % des Sollwertes
J44.02;Chronische obstruktive Lungenkrankheit mit akuter Infektion der unteren Atemwege: FEV1 >= 50 % und < 70 % des Sollwertes
J44.03;Chronische obstruktive Lungenkrankheit mit akuter Infektion der unteren Atemwege: FEV1 >= 70 % des Sollwertes
J44.09;Chronische obstruktive Lungenkrankheit mit akuter Infektion der unteren Atemwege: FEV1 nicht näher bezeichnet
J44.1;Chronische obstruktive Lungenkrankheit mit akuter Exazerbation, nicht näher bezeichnet
J44.10;Chronische obstruktive Lungenkrankheit mit akuter Exazerbation, nicht näher bezeichnet: FEV1 < 35 % des Sollwertes
J44.11;Chronische obstruktive Lungenkrankheit mit akuter Exazerbation, nicht näher bezeichnet: FEV1 >= 35 % und < 50 % des Sollwertes
J44.12;Chronische obstruktive Lungenkrankheit mit akuter Exazerbation, nicht näher bezeichnet: FEV1 >= 50 % und < 70 % des Sollwertes
J44.13;Chronische obstruktive Lungenkrankheit mit akuter Exazerbation, nicht näher bezeichnet: FEV1 >= 70 % des Sollwertes
J44.19;Chronische obstruktive Lungenkrankheit mit akuter Exazerbation, nicht näher bezeichnet: FEV1 nicht näher bezeichnet
J44.8;Sonstige näher bezeichnete chronische obstruktive Lungenkrankheit
J44.80;Sonstige näher bezeichnete chronische obstruktive Lungenkrankheit: FEV1 < 35 % des Sollwertes
J44.81;Sonstige näher bezeichnete chronische obstruktive Lungenkrankheit: FEV1 >= 35 % und < 50 % des Sollwertes
J44.82;Sonstige näher bezeichnete chronische obstruktive Lungenkrankheit: FEV1 >= 50 % und < 70 % des Sollwertes
J44.83;Sonstige näher bezeichnete chronische obstruktive Lungenkrankheit: FEV1 >= 70 % des Sollwertes
J44.89;Sonstige näher bezeichnete chronische obstruktive Lungenkrankheit: FEV1 nicht näher bezeichnet
J44.9;Chronische obstruktive Lungenkrankheit, nicht näher bezeichnet
J44.90;Chronische obstruktive Lungenkrankheit, nicht näher bezeichnet: FEV1 < 35 % des Sollwertes
J44.91;Chronische obstruktive Lungenkrankheit, nicht näher bezeichnet: FEV1 >= 35 % und < 50 % des Sollwertes
